lr-Adam,step,val_loss,val_rmse,epoch,train_loss,train_rmse,training_hrs
0.0048508953937577886,2479579,,,,,,
,2532335,10481.8564453125,68.54325866699219,47,,,
,2532335,,,47,10348.8017578125,64.98611450195312,1.31
0.004255168500074041,2532336,,,,,,
,2585092,10215.8330078125,63.18257522583008,48,,,
,2585092,,,48,10352.3505859375,64.68470001220703,2.62
0.003690815560036815,2585093,,,,,,
,2637849,10249.064453125,62.84645462036133,49,,,
,2637849,,,49,10310.6025390625,64.69023895263672,3.93
0.0031649336393122823,2637850,,,,,,
,2690606,10191.392578125,63.46881866455078,50,,,
,2690606,,,50,10311.6005859375,64.57197570800781,5.25
0.002684136008177352,2690607,,,,,,
,2743363,10187.4384765625,62.89982604980469,51,,,
,2743363,,,51,10270.947265625,64.35546112060547,6.56
0.0022544689758088304,2743364,,,,,,
,2796120,10166.0205078125,61.43683624267578,52,,,
,2796120,,,52,10296.0986328125,64.27130126953125,7.87
0.0018813358544373664,2796121,,,,,,
,2848877,10206.0869140625,61.426605224609375,53,,,
,2848877,,,53,10263.8291015625,64.22380065917969,9.18
0.0015694290095610904,2848878,,,,,,
,2901634,10147.912109375,62.008644104003906,54,,,
,2901634,,,54,10226.6826171875,64.13505554199219,10.49
0.0013226708507268865,2901635,,,,,,
,2954391,10152.529296875,62.20502853393555,55,,,
,2954391,,,55,10210.8037109375,63.98135757446289,11.8
0.0011441645049545136,2954392,,,,,,
,3007148,10130.0712890625,62.80717468261719,56,,,
,3007148,,,56,10223.3515625,63.9048957824707,13.11
0.001036154793113855,3007149,,,,,,
,3059905,10118.4287109375,62.07183837890625,57,,,
,3059905,,,57,10217.060546875,63.92668914794922,14.42
0.001,3059906,,,,,,
,3112662,10123.982421875,61.51741409301758,58,,,
,3112662,,,58,10173.8671875,63.742923736572266,15.74
0.00275,3112663,,,,,,
,3165419,10217.2958984375,63.049583435058594,59,,,
,3165419,,,59,10289.09375,64.35169982910156,17.05
0.0045000000000000005,3165420,,,,,,
,3218176,10270.57421875,63.69908142089844,60,,,
,3218176,,,60,10311.2685546875,64.91737365722656,18.36
0.00625,3218177,,,,,,
,3270933,10269.3818359375,62.928287506103516,61,,,
,3270933,,,61,10401.474609375,65.2222900390625,19.67
0.006245870389421769,3270934,,,,,,
,3323690,10260.1064453125,62.92599868774414,62,,,
,3323690,,,62,10414.416015625,65.22401428222656,20.98
0.006233494550969763,3323691,,,,,,
,3376447,10433.232421875,62.04030990600586,63,,,
,3376447,,,63,10432.6748046875,65.14131927490234,22.29
0.00621291142361037,3376448,,,,,,
,3429204,10278.0302734375,62.37517166137695,64,,,
,3429204,,,64,10411.1171875,65.09977722167969,23.6
0.0061841857694772875,3429205,,,,,,
,3481961,10366.0634765625,63.630653381347656,65,,,
,3481961,,,65,10374.0986328125,65.2064437866211,24.91
